latest.admissions.admission_rate.overall,latest.cost.tuition.in_state,latest.completion.rate_suppressed.lt_four_year_150percent,latest.completion.rate_suppressed.four_year,latest.completion.rate_suppressed.lt_four_year,latest.completion.rate_suppressed.four_year_200percent,latest.completion.rate_suppressed.four_year_100_pooled,latest.completion.rate_suppressed.lt_four_year_100_pooled,latest.completion.rate_suppressed.consumer.median_by_pred_degree,latest.completion.rate_suppressed.consumer.overall_median,latest.completion.rate_suppressed_pell.lt_four_year_150_pooled,latest.completion.rate_suppressed_pell.four_year_150_pooled,latest.completion.rate_suppressed.overall,school.name,school.city,school.state,school.degrees_awarded.highest,school.ownership,id,location.lat,location.lon
,2428.0,0.0781,,0.1945,,,0.0469,0.6654,0.5859,0.0816,,0.0781,Northland Pioneer College,Holbrook,AZ,2,1,105349,34.93031,-110.142199
,2358.0,0.1449,,0.1908,,,0.072,0.6654,0.5859,0.1461,,0.1449,Phoenix College,Phoenix,AZ,2,1,105428,33.481361,-112.088293
,2370.0,0.1956,,0.2295,,,0.0844,0.6654,0.5859,0.1577,,0.1956,Pima Community College,Tucson,AZ,2,1,105525,32.222125,-110.886659
,,,0.7083,,,,,0.3315,0.5859,,0.7035,0.7083,Pima Medical Institute-Tucson,Tucson,AZ,4,3,105534,32.248067,-110.878783
,,0.537,,0.5783,,,0.1445,0.6654,0.5859,0.5485,,0.537,Pima Medical Institute-Albuquerque,Albuquerque,NM,2,3,105543,35.104855,-106.59488
0.9857,35685.0,,0.4414,,0.4474,0.3784,,0.5839,0.5859,,0.44,0.4414,Prescott College,Prescott,AZ,4,2,105589,34.5452,-112.477185
,,0.6684,,0.6728,,,0.4827,0.6654,0.5859,0.6429,,0.6684,Refrigeration School Inc,Phoenix,AZ,2,3,105659,33.448692,-111.989357
,2358.0,,0.039,,,,,0.6654,0.5859,0.1096,,0.039,Rio Salado College,Tempe,AZ,2,1,105668,33.413309,-111.97417
,,0.9219,,0.9677,,,0.9219,0.6654,0.5859,0.9091,,0.9219,Roberto-Venn School of Luthiery,Phoenix,AZ,1,3,105677,33.45489,-112.086161
,2358.0,0.2309,,0.2497,,,0.1339,0.6654,0.5859,0.2397,,0.2309,Scottsdale Community College,Scottsdale,AZ,2,1,105747,33.51135,-111.885186
,2358.0,0.1916,,0.2193,,,0.0923,0.6654,0.5859,0.1595,,0.1916,South Mountain Community College,Phoenix,AZ,2,1,105792,33.382406,-112.032635
0.7442,34697.0,,0.4321,,0.4066,0.3799,,0.5839,0.5859,,0.2843,0.4321,Arizona Christian University,Glendale,AZ,3,2,105899,33.622952,-112.181776
,,0.5653,,0.5711,,,0.1784,0.3315,0.5859,0.5333,,0.5653,Universal Technical Institute of Arizona Inc,Avondale,AZ,2,3,106041,33.453005,-112.288123
,2838.0,,0.3213,,,,,0.6654,0.5859,0.3147,,0.3213,Yavapai College,Prescott,AZ,2,1,106148,34.547495,-112.453395
0.5774,8455.0,,0.4169,,0.4134,0.248,,0.5839,0.5859,,0.3748,0.4169,University of Arkansas at Little Rock,Little Rock,AR,4,1,106245,34.723254,-92.339778
,,,,,,,,0.5839,0.5859,,,,University of Arkansas for Medical Sciences,Little Rock,AR,4,1,106263,34.750152,-92.322348
,8760.0,,0.0816,,,0.0024,,0.5839,0.5859,,0.0577,0.0816,Arkansas Baptist College,Little Rock,AR,3,2,106306,34.734751,-92.290555
,,,,,,,,0.6654,0.5859,,,,Arkansas Beauty School-Little Rock,Little Rock,AR,1,3,106315,34.672171,-92.343366
,,0.587,,0.5883,,,0.2826,0.6654,0.5859,0.8393,,0.587,Arkansas Beauty College,Russellville,AR,1,3,106324,35.27902,-93.135369
0.6554,31000.0,,0.4677,,0.4411,0.3721,,0.5839,0.5859,,0.5098,0.4677,Lyon College,Batesville,AR,3,2,106342,35.777619,-91.625354
,,,,,,,,0.6654,0.5859,,,,Arkansas Technical School,North Little Rock,AR,1,3,106351,34.753843,-92.266429
0.7167,9748.0,,0.6961,,0.7077,0.5441,,0.5839,0.5859,,0.5629,0.6961,University of Arkansas,Fayetteville,AR,4,1,106397,36.070009,-94.176981
0.5754,9019.0,,0.4057,,0.418,0.2567,,0.5839,0.5859,,0.3829,0.4057,University of Arkansas at Pine Bluff,Pine Bluff,AR,4,1,106412,34.244031,-92.018683
,3216.0,0.3819,,0.4265,,,0.2872,0.3315,0.5859,0.3594,,0.3819,Arkansas State University-Beebe,Beebe,AR,2,1,106449,35.074176,-91.895351
0.6967,7754.0,,0.5388,,0.539,0.3932,,0.5839,0.5859,,0.4498,0.5388,Arkansas State University,Jonesboro,AR,4,1,106458,35.842388,-90.679988
0.9629,8508.0,,0.4877,,0.433,0.3181,,0.3315,0.5859,,0.4176,0.4877,Arkansas Tech University,Russellville,AR,4,1,106467,35.293237,-93.13562
,8868.0,,0.4124,,0.271,0.2113,,0.6654,0.5859,,0.3559,0.4124,University of Arkansas at Monticello,Monticello,AR,4,1,106485,33.590909,-91.811153
,,0.3404,,0.3409,,,0.1064,0.6654,0.5859,0.3182,,0.3404,Arthur's Beauty College,Jacksonville,AR,1,3,106494,34.891572,-92.102579
1.0,13593.0,,,,,,,0.3315,0.5859,,,,Baptist Health College Little Rock,Little Rock,AR,2,2,106546,34.713115,-92.40692
,4584.0,0.3362,,0.3361,,,0.227,0.6654,0.5859,0.2713,,0.3362,Black River Technical College,Pocahontas,AR,2,1,106625,36.239793,-90.951033
0.9047,10118.0,,0.5174,,0.486,0.3798,,0.5839,0.5859,,0.4026,0.5174,University of Central Arkansas,Conway,AR,4,1,106704,35.077945,-92.457672
0.4636,19680.0,,0.3716,,0.447,0.2467,,0.5839,0.5859,,0.2537,0.3716,Central Baptist College,Conway,AR,3,2,106713,35.083838,-92.445021
